season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2017,North Carolina St.,6,"109.9
78","96.3
77",".8195
57","53.3
78","41.8
14","18.6
169","15.9
302","33.1
90","28.4
135","44.4
34","27.8
63","49.3
156","45.5
94","41.5
21","23.9
2","73.4
49","0.1
59"
2016,Northwestern,8,"115.6
24","102.3
174",".8033
57","57.8
14","40.9
6","13.8
4","14.4
330","33.6
90","29
136","30.1
265","25.5
39","57.9
11","38.6
6","38.5
65","30.6
67","63.6
345","1.4
13"
2015,Arizona St.,4,"107.4
68","94.3
84",".8166
57","51.2
95","48.1
154","21.4
257","20
158","34
89","21.5
5","42
73","32.9
111","48.9
149","46.7
144","37.3
80","34.5
191","68.5
55","-1.3
152"
2014,Butler,4,"102.6
183","90.5
19",".8080
57","48.3
199","44.5
53","19.2
193","16.6
267","35.3
88","22.5
9","40.3
153","27.1
23","46.4
225","44.6
78","34.8
159","29.5
68","65.7
233","-0.3
95"
2013,"North Carolina
8 seed, R32",5,"111.2
29","96.8
134",".8304
57","51.5
92","45.5
94","19
96","19
243","37
59","31.5
156","34.2
179","28.2
71","49.8
113","41.8
44","36.8
85","35.7
244","77.4
1","0.1
58"
2012,Washington St.,5,"110.2
44","96.8
115",".8155
57","56.8
14","47.6
141","20.9
189","19.9
197","35.3
102","33
186","45.3
36","36.6
187","54.5
32","48.4
193","41
24","30.5
76","65.6
215","0
65"
2011,"Clemson
12 seed, R64",5,"105.6
94","92.1
46",".8283
57","50.7
116","43.3
27","20.6
180","23.1
57","36.3
67","30.5
108","40.4
119","30.7
74","51.2
77","40.2
17","33.1
197","32.8
128","64.4
278","-0.2
76"
2010,Cincinnati,5,"101.5
163","88.1
20",".8372
57","49.4
150","41.2
16","21.2
195","20
200","36.9
81","31.4
137","34.5
203","28.7
58","50.9
79","41.9
37","30.9
256","26.6
22","69.5
123","-0.2
66"
2009,"Ohio St.
8 seed, R64",7,"106.8
82","93.7
72",".8185
57","51.5
97","47.9
140","18.2
56","21.5
150","30.2
258","33.4
175","45.3
35","24.2
21","50.9
92","45.6
116","35
153","34.3
174","65.9
223","1.5
10"
2008,Georgia Tech,3,"106.0
107","92.4
53",".8283
57","52.5
97","51.8
221","23
216","26
35","33
171","25.4
14","37.5
127","43
274","54.3
35","52.7
269","32.7
242","33.6
113","70.4
89","-1
138"
2020,South Florida,4,"103.4
121","91.2
45",".8088
56","50.9
133","49.5
163","23
308","23.7
28","35.5
34","23.6
50","36.4
86","30.2
150","49.8
170","51.9
238","35.3
108","31.3
104","65.1
331","-0.4
115"
