school,url_school,location
Southern Jaguars,southern,"Baton Rouge, Louisiana"
Southern Methodist Mustangs,southern-methodist,"Dallas, Texas"
Southern Mississippi Golden Eagles,southern-mississippi,"Hattiesburg, Mississippi"
Southern Utah Thunderbirds,southern-utah,"Cedar City, Utah"
Southwestern (KS) Moundbuilders,southwestern-ks,"Winfield, Kansas"
Southwestern (TX) Pirates,southwestern-tx,"Georgetown, Texas"
Springfield Pride,springfield,"Springfield, Massachusetts"
St. Bonaventure Bonnies,st-bonaventure,"St. Bonaventure, New York"
St. Francis (NY) Terriers,st-francis-ny,"Brooklyn Heights, New York"
St. John's (NY) Red Storm,st-johns-ny,"Queens, New York"
St. John's College (OH) ,st-johns-college-oh,"Toledo, Ohio"
St. Lawrence Saints,st-lawrence,"Canton, New York"
Stanford Cardinal,stanford,"Stanford, California"
Stephen F. Austin Lumberjacks,stephen-f-austin,"Nacogdoches, Texas"
Stetson Hatters,stetson,"DeLand, Florida"
Stevens Institute Ducks,stevens-institute,"Hoboken, New Jersey"
Stony Brook Seawolves,stony-brook,"Stony Brook, New York"
SUNY-Potsdam Bears,suny-potsdam,"Potsdam, New York"
Swarthmore Garnet,swarthmore,"Swarthmore, Pennsylvania"
Syracuse Orange,syracuse,"Syracuse, New York"
Temple Owls,temple,"Philadelphia, Pennsylvania"
Tennessee State Tigers,tennessee-state,"Nashville, Tennessee"
Tennessee Tech Golden Eagles,tennessee-tech,"Cookeville, Tennessee"
Tennessee Volunteers,tennessee,"Knoxville, Tennessee"
Tennessee-Martin Skyhawks,tennessee-martin,"Martin, Tennessee"
Texas A&M Aggies,texas-am,"College Station, Texas"
Texas A&M-Corpus Christi Islanders,texas-am-corpus-christi,"Corpus Christi, Texas"
Texas Christian Horned Frogs,texas-christian,"Fort Worth, Texas"
Texas Longhorns,texas,"Austin, Texas"
Texas Southern Tigers,texas-southern,"Houston, Texas"
Texas State Bobcats,texas-state,"San Marcos, Texas"
Texas Tech Red Raiders,texas-tech,"Lubbock, Texas"
Texas Wesleyan Rams,texas-wesleyan,"Fort Worth, Texas"
Texas-Arlington Mavericks,texas-arlington,"Arlington, Texas"
Texas-El Paso Miners,texas-el-paso,"El Paso, Texas"
Texas-Rio Grande Valley Vaqueros,texas-pan-american,"Edinburg, Texas"
Texas-San Antonio Roadrunners,texas-san-antonio,"San Antonio, Texas"
Toledo Rockets,toledo,"Toledo, Ohio"
Towson Tigers,towson,"Towson, Maryland"
Trinity (CT) Bantams,trinity-ct,"Hartford, Connecticut"
Trinity (TX) Tigers,trinity-tx,"San Antonio, Texas"
Troy Trojans,troy,"Troy, Alabama"
Tulane Green Wave,tulane,"New Orleans, Louisiana"
Tulsa Golden Hurricane,tulsa,"Tulsa, Oklahoma"
U.S. International Gulls,alliant-international,"San Diego, California"
UC-Davis Aggies,california-davis,"Davis, California"
UC-Irvine Anteaters,california-irvine,"Irvine, California"
UC-Riverside Highlanders,california-riverside,"Riverside, California"
UC-Santa Barbara Gauchos,california-santa-barbara,"Santa Barbara, California"
UCLA Bruins,ucla,"Los Angeles, California"
Union (NY) Dutchmen,union-ny,"Schenectady, New York"
University of California Golden Bears,california,"Berkeley, California"
Utah State Aggies,utah-state,"Logan, Utah"
Utah Utes,utah,"Salt Lake City, Utah"
Utah Valley Wolverines,utah-valley,"Orem, Utah"
Utica Pioneers,utica,"Utica, New York"
Valparaiso Crusaders,valparaiso,"Valparaiso, Indiana"
Vanderbilt Commodores,vanderbilt,"Nashville, Tennessee"
Vermont Catamounts,vermont,"Burlington, Vermont"
Villanova Wildcats,villanova,"Villanova, Pennsylvania"
Virginia Cavaliers,virginia,"Charlottesville, Virginia"
Virginia Commonwealth Rams,virginia-commonwealth,"Richmond, Virginia"
Virginia Military Institute Keydets,virginia-military-institute,"Lexington, Virginia"
Virginia Tech Hokies,virginia-tech,"Blacksburg, Virginia"
Wabash Little Giants,wabash,"Crawfordsville, Indiana"
Wagner Seahawks,wagner,"Staten Island, New York"
Wake Forest Demon Deacons,wake-forest,"Winston-Salem, North Carolina"
Washburn Ichabods,washburn,"Topeka, Kansas"
Washington & Jefferson Presidents,washington-jefferson,"Washington, Pennsylvania"
Washington & Lee Generals,washington-lee,"Lexington, Virginia"
Washington (MO) Bears,washington-mo,"St. Louis, Missouri"
Washington College Shoremen,washington-college,"Chestertown, Maryland"
Washington Huskies,washington,"Seattle, Washington"
Washington State Cougars,washington-state,"Pullman, Washington"
Wayne State (MI) Warriors,wayne-state-mi,"Detroit, Michigan"
Weber State Wildcats,weber-state,"Ogden, Utah"
Wesleyan (CT) Cardinals,wesleyan-ct,"Middletown, Connecticut"
West Chester Golden Rams,west-chester,"West Chester, Pennsylvania"
West Texas A&M Buffaloes,west-texas-am,"Canyon, Texas"
West Virginia Mountaineers,west-virginia,"Morgantown, West Virginia"
Western Carolina Catamounts,western-carolina,"Cullowhee, North Carolina"
Western Colorado Mountaineers,western-state,"Gunnison, Colorado"
Western Illinois Leathernecks,western-illinois,"Macomb, Illinois"
Western Kentucky Hilltoppers,western-kentucky,"Bowling Green, Kentucky"
Western Michigan Broncos,western-michigan,"Kalamazoo, Michigan"
