year_id,pts,mp,player,player_id,school_name,url_school
2015,19,60,Jae'Sean Tate,jaesean-tate-1,Ohio State,ohio-state
2009,26,60,Donald Sloan,donald-sloan-1,Texas A&M,texas-am
2008,25,60,Corey Fisher,corey-fisher-1,Villanova,villanova
2016,11,60,Adam Woodbury,adam-woodbury-1,Iowa,iowa
2010,21,60,Jake Koch,jake-koch-1,Northern Iowa,northern-iowa
2014,17,60,Gary Bell,gary-bell-1,Gonzaga,gonzaga
2019,12,60,Jonathan Galloway,jonathan-galloway-1,UC-Irvine,california-irvine
2015,33,60,Frank Mason,frank-mason-1,Kansas,kansas
2009,30,60,Jon Brockman,jon-brockman-1,Washington,washington
2014,23,60,Perry Ellis,perry-ellis-1,Kansas,kansas
2018,32,60,Egor Koulechov,egor-koulechov-1,Florida,florida
2017,16,60,Quentin Snider,quentin-snider-1,Louisville,louisville
2018,15,60,David Skara,david-skara-1,Clemson,clemson
2008,28,59,Jon Scheyer,jon-scheyer-1,Duke,duke
2010,17,59,C.J. Harris,cj-harris-1,Wake Forest,wake-forest
2010,22,59,Derrick Favors,derrick-favors-1,Georgia Tech,georgia-tech
2016,30,59,Mo Alie-Cox,mo-alie-cox-1,Virginia Commonwealth,virginia-commonwealth
2009,33,59,Bryan Davis,bryan-davis-1,Texas A&M,texas-am
2012,15,59,Melvin Ejim,melvin-ejim-1,Iowa State,iowa-state
2011,26,59,Robert Sacre,robert-sacre-1,Gonzaga,gonzaga
2019,24,59,Kevarrius Hayes,kevarrius-hayes-1,Florida,florida
2008,29,59,Sam Young,sam-young-1,Pittsburgh,pittsburgh
2016,22,59,Dwayne Benjamin,dwayne-benjamin-1,Oregon,oregon
2010,5,59,Dash Harris,dash-harris-1,Texas A&M,texas-am
2008,21,59,Taj Finger,taj-finger-1,Stanford,stanford
2011,23,59,Devin Booker,devin-booker-1,Clemson,clemson
2011,16,59,Logan Magnusson,logan-magnusson-1,Brigham Young,brigham-young
2015,14,59,Marvin Clark,marvin-clark-1,Michigan State,michigan-state
2019,38,59,Nick Perkins,nick-perkins-2,Buffalo,buffalo
2013,15,59,Tyrone Wallace,tyrone-wallace-1,University of California,california
2015,22,59,Dylan Ennis,dylan-ennis-1,Villanova,villanova
2012,25,59,Angel Rodriguez,angel-rodriguez-1,Kansas State,kansas-state
2012,20,59,Troy Daniels,troy-daniels-1,Virginia Commonwealth,virginia-commonwealth
2012,14,59,Brock Zylstra,brock-zylstra-1,Brigham Young,brigham-young
2018,9,59,Galen Robinson Jr.,galen-robinsonjr-1,Houston,houston
2010,17,59,Tavaris Washington,tavaris-washington-1,Arkansas-Pine Bluff,arkansas-pine-bluff
2017,26,59,Scottie Lindsey,scottie-lindsey-1,Northwestern,northwestern
2009,27,59,Taj Gibson,taj-gibson-1,Southern California,southern-california
2017,16,59,Duncan Robinson,duncan-robinson-1,Michigan,michigan
2014,16,59,Geron Johnson,geron-johnson-1,Memphis,memphis
2019,10,59,EJ Montgomery,ej-montgomery-1,Kentucky,kentucky
2009,20,59,Alfred Aboya,alfred-aboya-1,UCLA,ucla
2017,13,59,Kris Jenkins,kris-jenkins-1,Villanova,villanova
2011,20,59,Jamelle Horne,jamelle-horne-1,Arizona,arizona
2013,27,59,A.J. Davis,aj-davis-1,James Madison,james-madison
2016,20,59,Isaiah Briscoe,isaiah-briscoe-1,Kentucky,kentucky
2008,9,59,Josh Duell,josh-duell-1,Siena,siena
2018,23,59,Kenny Williams,kenny-williams-3,North Carolina,north-carolina
2019,34,59,Jalen Smith,jalen-smith-1,Maryland,maryland
2015,17,59,Rashad Madden,rashad-madden-1,Arkansas,arkansas
2015,14,58,Jake Layman,jake-layman-1,Maryland,maryland
2010,30,58,Landon Milbourne,landon-milbourne-1,Maryland,maryland
2014,20,58,Jonathan Holmes,jonathan-holmes-2,Texas,texas
2008,35,58,Chris Allen,chris-allen-1,Michigan State,michigan-state
2012,6,58,Jon Smith,jon-smith-2,Ohio,ohio
2013,13,58,Denzel Valentine,denzel-valentine-1,Michigan State,michigan-state
2018,29,58,Admiral Schofield,admiral-schofield-1,Tennessee,tennessee
2015,8,58,BeeJay Anya,beejay-anya-1,North Carolina State,north-carolina-state
2013,12,58,D.J. Stephens,dj-stephens-1,Memphis,memphis
2015,39,58,Darrun Hilliard,darrun-hilliard-1,Villanova,villanova
2015,20,58,Winston Shepard,winston-shepard-1,San Diego State,san-diego-state
2012,2,58,Chris Babb,chris-babb-1,Iowa State,iowa-state
2017,25,58,Allerik Freeman,allerik-freeman-2,Baylor,baylor
2012,16,58,Jordair Jett,jordair-jett-1,Saint Louis,saint-louis
2010,26,58,Ashton Gibbs,ashton-gibbs-1,Pittsburgh,pittsburgh
2014,15,58,Tyler Lewis,tyler-lewis-1,North Carolina State,north-carolina-state
2013,11,58,Dexter Strickland,dexter-strickland-1,North Carolina,north-carolina
2009,9,58,Justin Dentmon,justin-dentmon-1,Washington,washington
2013,14,58,Jerami Grant,jerami-grant-1,Syracuse,syracuse
2015,28,58,Lucky Jones,lucky-jones-1,Robert Morris,robert-morris
2015,11,58,Marshall Plumlee,marshall-plumlee-1,Duke,duke
2008,4,58,Steve Rossiter,steve-rossiter-1,Davidson,davidson
2012,23,58,Ben Brust,ben-brust-1,Wisconsin,wisconsin
2018,19,58,Chris Chiozza,chris-chiozza-1,Florida,florida
2016,23,58,OG Anunoby,og-anunoby-1,Indiana,indiana
2015,23,58,Kennedy Meeks,kennedy-meeks-1,North Carolina,north-carolina
2010,32,58,Jordan Eglseder,jordan-eglseder-1,Northern Iowa,northern-iowa
2018,9,58,Killian Tillie,killian-tillie-1,Gonzaga,gonzaga
2015,24,58,Darrell Davis,darrell-davis-2,Dayton,dayton
2016,23,58,Clide Geffrard,clide-geffrard-1,Stephen F. Austin,stephen-f-austin
2008,40,58,Henry Walker,bill-walker-1,Kansas State,kansas-state
2011,21,58,Chris Singleton,chris-singleton-1,Florida State,florida-state
2011,22,58,Matthew Bryan-Amaning,matthew-bryan-amaning-1,Washington,washington
2019,20,58,Ehab Amin,ehab-amin-1,Oregon,oregon
2012,16,58,Deividas Dulkys,deividas-dulkys-1,Florida State,florida-state
2008,8,58,Zach Hillesland,zach-hillesland-1,Notre Dame,notre-dame
2014,54,58,Cleanthony Early,cleanthony-early-1,Wichita State,wichita-state
2017,15,58,Giddy Potts,giddy-potts-1,Middle Tennessee,middle-tennessee
2013,33,58,Richard Solomon,richard-solomon-1,University of California,california
2011,13,58,Brandon Paul,brandon-paul-1,Illinois,illinois
2018,7,58,Aaron Thompson,aaron-thompson-3,Butler,butler
2016,27,58,Isaiah Miles,isaiah-miles-1,Saint Joseph's,saint-josephs
2018,15,58,Tonny Trocha-Morelos,tonny-trocha-morelos-1,Texas A&M,texas-am
2014,29,58,Przemek Karnowski,przemek-karnowski-1,Gonzaga,gonzaga
2018,12,58,Quentin Goodin,quentin-goodin-1,Xavier,xavier
2018,20,58,Trayvon Reed,trayvon-reed-1,Texas Southern,texas-southern
2011,34,58,Darryl Bryant,darryl-bryant-1,West Virginia,west-virginia
2008,18,58,Antonio Pena,antonio-pena-1,Villanova,villanova
2011,9,58,Stephen Franklin,stephen-franklin-1,Texas-San Antonio,texas-san-antonio
2014,26,58,James Bell,james-bell-1,Villanova,villanova
2009,22,57,Sergio Kerusch,sergio-kerusch-1,Western Kentucky,western-kentucky
2010,12,57,Luis Colon,luis-colon-1,Kansas State,kansas-state
2009,14,57,Derrick Roland,derrick-roland-1,Texas A&M,texas-am
2015,26,57,Perry Ellis,perry-ellis-1,Kansas,kansas
2011,14,57,Isaiah Tate,isaiah-tate-1,George Mason,george-mason
2009,20,57,Chris Johnson,chris-johnson-2,Louisiana State,louisiana-state
2017,19,57,Luke Kennard,luke-kennard-1,Duke,duke
2011,30,57,Andre Young,andre-young-1,Clemson,clemson
2008,17,57,Kyle Singler,kyle-singler-1,Duke,duke
2016,6,57,Damonte Dodd,damonte-dodd-1,Maryland,maryland
2015,20,57,Frank Booker,frank-booker-1,Oklahoma,oklahoma
2013,11,57,Eric McKnight,eric-mcknight-1,Florida Gulf Coast,florida-gulf-coast
2019,13,57,Collin Gillespie,collin-gillespie-1,Villanova,villanova
2014,8,57,Zach LaVine,zach-lavine-1,UCLA,ucla
2011,15,57,Josh Selby,josh-selby-1,Kansas,kansas
2015,22,57,Brian Darden,brian-darden-1,Hampton,hampton
2009,34,57,Manny Harris,manny-harris-1,Michigan,michigan
2008,8,57,DeMarcus Nelson,demarcus-nelson-1,Duke,duke
2009,24,57,Charles Little,charles-little-1,Dayton,dayton
2016,18,57,Tonny Trocha-Morelos,tonny-trocha-morelos-1,Texas A&M,texas-am
2018,20,57,Sean McDermott,sean-mcdermott-1,Butler,butler
2019,30,57,Evan Leonard,evan-leonard-1,UC-Irvine,california-irvine
2019,19,57,Romello White,romello-white-1,Arizona State,arizona-state
2019,16,57,Mario Kegler,mario-kegler-1,Baylor,baylor
2012,18,57,Jewuan Long,jewuan-long-1,Murray State,murray-state
