season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2020,Oakland,2,"96.3
270","108.8
298",".1973
298","48
227","52.5
275","20.4
276","20.2
96","30.5
102","35.8
342","36.2
110","29.1
106","48.6
186","51.1
238","31.4
251","36.5
275","66.6
268","-6
340"
2019,LIU Brooklyn,4,"97.5
262","109.1
276",".2149
298","52.4
119","50.9
178","20.9
278","19
155","33.5
49","26.9
138","31.6
202","35.3
233","56.2
36","46.7
63","31
279","39.3
318","72.5
43","-4.3
293"
2018,Bethune Cookman,6,"96.2
293","109.1
263",".1915
298","51
169","45.9
29","21.2
309","16.9
249","35.6
23","29.3
185","45
18","35.3
222","54.7
39","45.2
46","29.7
324","31.8
71","76.8
5","-1.6
146"
2017,Texas A&M Corpus Chris,4,"94.4
306","106.4
220",".2025
298","50.3
185","52
223","21.5
315","22.6
25","27.9
212","29.1
178","38.6
120","45.1
310","51
139","52.1
255","32.6
252","34.5
161","68.8
202","-3.4
243"
2016,USC Upstate,4,"102.7
199","116.9
339",".1837
298","52.2
94","54
304","21.6
324","13.9
336","37.7
17","28.7
141","29
313","37.9
182","51.1
95","50
226","36.5
115","39.9
313","65.7
299","-4.1
270"
2015,Longwood,3,"97.1
262","109.5
285",".2014
298","50.9
114","48.5
155","18.1
141","20.2
108","26.3
297","39
343","28.7
321","44.9
296","44.7
271","47.7
182","40.1
41","33.5
149","66.8
65","-4.8
304"
2014,Cornell,0,"99.3
260","112.4
287",".1929
298","43.1
333","57
338","16.9
95","15.4
306","26.2
291","25.7
31","28.9
338","47.8
274","45.8
259","57
343","25
345","37.9
261","66.3
151","-2.7
214"
2013,Southeastern Louisiana,6,"93.9
279","107.1
272",".1789
298","47.4
207","50
215","18.4
104","19.2
201","27.6
277","34.3
255","47.2
23","40.6
260","45.9
227","46
110","33.8
178","41.3
325","65.5
174","-1.9
151"
2012,Georgia Southern,5,"92.8
294","106.1
259",".1772
298","49.4
159","53.2
290","20.4
183","22.1
89","27
292","30.4
116","35.4
192","29.5
50","50.9
81","55.2
325","30.4
282","33.5
153","65.7
172","-2.4
205"
2011,Idaho St.,1,"95.8
274","109.0
272",".1852
298","42.3
334","53.4
304","19.9
176","19.1
202","33.8
121","32.4
183","42.6
96","39.2
196","42.1
319","46.5
124","28.4
309","43.8
340","65.1
216","-5.8
314"
2010,Central Arkansas,1,"90.1
305","103.1
211",".1751
298","45.4
283","45.9
81","22.5
273","19.6
210","31
228","35.5
264","52.8
5","37
151","49.3
109","48.4
199","25
341","26.2
14","64.1
275","-5.3
310"
2009,Coppin St.,4,"94.7
256","109.6
306",".1559
298","46.2
254","54.2
309","21.4
216","23.4
53","31
214","34.9
241","34.5
208","32.6
103","43.3
299","56.1
335","34.3
169","34.3
175","67.1
138","-3.1
209"
